source,target,property_id,property_label
Q42836000,Q3313271,P276,http://www.wikidata.org/prop/direct/P276
Q42836071,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42836071,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42836071,Q1920602,P131,http://www.wikidata.org/prop/direct/P131
Q42836071,Q591626,P276,http://www.wikidata.org/prop/direct/P276
Q42836103,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42836103,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42836103,Q1920520,P131,http://www.wikidata.org/prop/direct/P131
Q42836103,Q3312165,P276,http://www.wikidata.org/prop/direct/P276
Q42836241,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42836241,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42836241,Q1920602,P131,http://www.wikidata.org/prop/direct/P131
Q42836241,Q967582,P276,http://www.wikidata.org/prop/direct/P276
Q42836337,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42836337,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42836337,Q1920602,P131,http://www.wikidata.org/prop/direct/P131
Q42836337,Q591626,P276,http://www.wikidata.org/prop/direct/P276
Q42836373,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42836373,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42836373,Q1920602,P131,http://www.wikidata.org/prop/direct/P131
Q42836373,Q2718526,P276,http://www.wikidata.org/prop/direct/P276
Q1360456,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q1360456,Q839954,P31,http://www.wikidata.org/prop/direct/P31
Q1360456,Q1341387,P31,http://www.wikidata.org/prop/direct/P31
Q1360456,Q1132101,P131,http://www.wikidata.org/prop/direct/P131
Q1360456,Q2723621,P276,http://www.wikidata.org/prop/direct/P276
Q2390374,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q2390374,Q839954,P31,http://www.wikidata.org/prop/direct/P31
Q2390374,Q1132101,P131,http://www.wikidata.org/prop/direct/P131
Q2390374,Q2723621,P276,http://www.wikidata.org/prop/direct/P276
Q2942242,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q2942242,Q2977,P31,http://www.wikidata.org/prop/direct/P31
Q2942242,Q120560,P31,http://www.wikidata.org/prop/direct/P31
Q2942242,Q570116,P31,http://www.wikidata.org/prop/direct/P31
Q2942242,Q1132101,P131,http://www.wikidata.org/prop/direct/P131
Q2942242,Q5582862,P131,http://www.wikidata.org/prop/direct/P131
Q2942242,Q162691,P138,http://www.wikidata.org/prop/direct/P138
Q2942242,Q2723621,P276,http://www.wikidata.org/prop/direct/P276
Q5738212,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q5738212,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q5738212,Q1132101,P131,http://www.wikidata.org/prop/direct/P131
Q5738212,Q2723621,P276,http://www.wikidata.org/prop/direct/P276
Q9172888,Q178561,P31,http://www.wikidata.org/prop/direct/P31
Q9172888,Q3312913,P276,http://www.wikidata.org/prop/direct/P276
Q9172888,Q1806552,P361,http://www.wikidata.org/prop/direct/P361
Q10974742,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q10974742,Q56395672,P31,http://www.wikidata.org/prop/direct/P31
Q10974742,Q1132101,P131,http://www.wikidata.org/prop/direct/P131
Q10974742,Q5582862,P131,http://www.wikidata.org/prop/direct/P131
Q10974742,Q2723621,P276,http://www.wikidata.org/prop/direct/P276
Q26905493,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q26905493,Q16970,P31,http://www.wikidata.org/prop/direct/P31
Q26905493,Q205057,P131,http://www.wikidata.org/prop/direct/P131
Q26905493,Q1132101,P131,http://www.wikidata.org/prop/direct/P131
Q26905493,Q3322708,P276,http://www.wikidata.org/prop/direct/P276
Q42826529,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42826529,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42826529,Q951287,P131,http://www.wikidata.org/prop/direct/P131
Q42826529,Q3312913,P276,http://www.wikidata.org/prop/direct/P276
Q42826588,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42826588,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42826588,Q951287,P131,http://www.wikidata.org/prop/direct/P131
Q42826588,Q3312913,P276,http://www.wikidata.org/prop/direct/P276
Q42826647,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42826647,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42826647,Q951287,P131,http://www.wikidata.org/prop/direct/P131
Q42826647,Q3312597,P276,http://www.wikidata.org/prop/direct/P276
Q42826703,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42826703,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42826703,Q951287,P131,http://www.wikidata.org/prop/direct/P131
Q42826703,Q3312558,P276,http://www.wikidata.org/prop/direct/P276
Q42826763,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42826763,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42826763,Q951287,P131,http://www.wikidata.org/prop/direct/P131
Q42826763,Q2608412,P276,http://www.wikidata.org/prop/direct/P276
Q42826830,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42826830,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42826830,Q951287,P131,http://www.wikidata.org/prop/direct/P131
Q42826830,Q2608412,P276,http://www.wikidata.org/prop/direct/P276
Q42826912,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42826912,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42826912,Q951287,P131,http://www.wikidata.org/prop/direct/P131
Q42826912,Q3322654,P276,http://www.wikidata.org/prop/direct/P276
Q42826974,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42834849,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42834849,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42834849,Q1920613,P131,http://www.wikidata.org/prop/direct/P131
Q42834849,Q2893883,P276,http://www.wikidata.org/prop/direct/P276
Q42834907,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42834907,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42834907,Q1920613,P131,http://www.wikidata.org/prop/direct/P131
Q42834907,Q3312865,P276,http://www.wikidata.org/prop/direct/P276
Q42835013,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42835013,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42835013,Q1920613,P131,http://www.wikidata.org/prop/direct/P131
Q42835013,Q3312865,P276,http://www.wikidata.org/prop/direct/P276
Q42835232,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42835232,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42835232,Q1920613,P131,http://www.wikidata.org/prop/direct/P131
Q42835232,Q3312249,P276,http://www.wikidata.org/prop/direct/P276
Q42835280,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42835280,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42835280,Q1920613,P131,http://www.wikidata.org/prop/direct/P131
Q42835280,Q3312249,P276,http://www.wikidata.org/prop/direct/P276
Q42835444,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42835444,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42835444,Q1947973,P131,http://www.wikidata.org/prop/direct/P131
Q42835444,Q3321976,P276,http://www.wikidata.org/prop/direct/P276
Q42835807,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42835807,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42835807,Q1948019,P131,http://www.wikidata.org/prop/direct/P131
Q42835807,Q3312892,P276,http://www.wikidata.org/prop/direct/P276
Q42836203,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42836203,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42836203,Q1947973,P131,http://www.wikidata.org/prop/direct/P131
Q42836203,Q3314065,P276,http://www.wikidata.org/prop/direct/P276
Q42836273,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42836273,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42836273,Q1948019,P131,http://www.wikidata.org/prop/direct/P131
Q42836273,Q3313110,P276,http://www.wikidata.org/prop/direct/P276
Q42836407,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42836407,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42836407,Q1948019,P131,http://www.wikidata.org/prop/direct/P131
Q42836407,Q3312884,P276,http://www.wikidata.org/prop/direct/P276
Q42836500,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42836500,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42836500,Q1920613,P131,http://www.wikidata.org/prop/direct/P131
Q42836500,Q921913,P276,http://www.wikidata.org/prop/direct/P276
Q676203,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q676203,Q570116,P31,http://www.wikidata.org/prop/direct/P31
Q676203,Q839954,P31,http://www.wikidata.org/prop/direct/P31
Q676203,Q15661340,P31,http://www.wikidata.org/prop/direct/P31
Q676203,Q205057,P131,http://www.wikidata.org/prop/direct/P131
Q676203,Q1771879,P131,http://www.wikidata.org/prop/direct/P131
Q676203,Q397990,P276,http://www.wikidata.org/prop/direct/P276
Q676203,Q3331815,P361,http://www.wikidata.org/prop/direct/P361
Q2338093,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q2338093,Q178561,P31,http://www.wikidata.org/prop/direct/P31
Q2338093,Q828336,P276,http://www.wikidata.org/prop/direct/P276
Q2338093,Q5884503,P361,http://www.wikidata.org/prop/direct/P361
Q4872293,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q4872293,Q178561,P31,http://www.wikidata.org/prop/direct/P31
Q4872293,Q7417854,P276,http://www.wikidata.org/prop/direct/P276
Q4872293,Q1806552,P361,http://www.wikidata.org/prop/direct/P361
Q5055825,Q178561,P31,http://www.wikidata.org/prop/direct/P31
Q5055825,Q828336,P276,http://www.wikidata.org/prop/direct/P276
Q5055825,Q636771,P361,http://www.wikidata.org/prop/direct/P361
Q9172756,Q178561,P31,http://www.wikidata.org/prop/direct/P31
Q9172756,Q2989619,P276,http://www.wikidata.org/prop/direct/P276
Q9172756,Q636771,P361,http://www.wikidata.org/prop/direct/P361
Q16618903,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q16618903,Q22731,P31,http://www.wikidata.org/prop/direct/P31
Q16618903,Q618123,P31,http://www.wikidata.org/prop/direct/P31
Q16618903,Q5582862,P131,http://www.wikidata.org/prop/direct/P131
Q16618903,Q5892811,P276,http://www.wikidata.org/prop/direct/P276
Q42826285,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42826285,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42826285,Q1948019,P131,http://www.wikidata.org/prop/direct/P131
Q42826285,Q3312974,P276,http://www.wikidata.org/prop/direct/P276
Q42830962,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42830962,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42830962,Q1947973,P131,http://www.wikidata.org/prop/direct/P131
Q42830962,Q3315216,P276,http://www.wikidata.org/prop/direct/P276
Q42831023,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42831023,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42831023,Q1920613,P131,http://www.wikidata.org/prop/direct/P131
Q42831023,Q3312396,P276,http://www.wikidata.org/prop/direct/P276
Q42831073,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42831073,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42831073,Q1920613,P131,http://www.wikidata.org/prop/direct/P131
Q42831073,Q3312608,P276,http://www.wikidata.org/prop/direct/P276
Q42831120,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42831120,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42831120,Q1920613,P131,http://www.wikidata.org/prop/direct/P131
Q42831120,Q3312608,P276,http://www.wikidata.org/prop/direct/P276
Q42831169,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42831169,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42831169,Q1920613,P131,http://www.wikidata.org/prop/direct/P131
Q42831169,Q3312939,P276,http://www.wikidata.org/prop/direct/P276
Q42832721,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42832721,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42832721,Q1948019,P131,http://www.wikidata.org/prop/direct/P131
Q42832721,Q3312974,P276,http://www.wikidata.org/prop/direct/P276
Q42833245,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42833245,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42833245,Q1920613,P131,http://www.wikidata.org/prop/direct/P131
Q42833245,Q3312608,P276,http://www.wikidata.org/prop/direct/P276
